,primaryTitle,isAdult,startYear,runtimeMinutes,genres,PolloRating
173972,Inception,0,2010,148,"Action,Adventure,Sci-Fi",0.8723080472139657
69634,The Matrix,0,1999,136,"Action,Sci-Fi",0.8501528507354585
140816,Interstellar,0,2014,169,"Adventure,Drama,Sci-Fi",0.8384936050203443
136782,The Prestige,0,2006,130,"Drama,Mystery,Sci-Fi",0.8099144859742653
56821,Terminator 2: Judgment Day,0,1991,137,"Action,Sci-Fi",0.8081957654816592
48575,Back to the Future,0,1985,116,"Adventure,Comedy,Sci-Fi",0.8042529154962316
241997,Avengers: Infinity War,0,2018,149,"Action,Adventure,Sci-Fi",0.78895443869902
42568,Alien,0,1979,117,"Horror,Sci-Fi",0.7862696852723815
116918,Eternal Sunshine of the Spotless Mind,0,2004,108,"Drama,Romance,Sci-Fi",0.7752279070665475
131024,V for Vendetta,0,2005,132,"Action,Drama,Sci-Fi",0.7716160687980151
49653,Aliens,0,1986,137,"Action,Adventure,Sci-Fi",0.7652271541515459
59016,Jurassic Park,0,1993,127,"Action,Adventure,Sci-Fi",0.7648836855898201
142097,The Avengers,0,2012,143,"Action,Sci-Fi",0.7644261996638191
35110,A Clockwork Orange,0,1971,136,"Crime,Sci-Fi",0.7642761676159082
175104,Mad Max: Fury Road,0,2015,120,"Action,Adventure,Sci-Fi",0.7563816607230469
32191,2001: A Space Odyssey,0,1968,149,"Adventure,Sci-Fi",0.7522791844725566
48368,The Terminator,0,1984,107,"Action,Sci-Fi",0.7482237599353623
45615,Blade Runner,0,1982,117,"Action,Drama,Sci-Fi",0.7418279337144763
231542,Logan,0,2017,137,"Action,Drama,Sci-Fi",0.7415936582120736
122504,Iron Man,0,2008,126,"Action,Adventure,Sci-Fi",0.7404653915810512
236106,The Martian,0,2015,144,"Adventure,Drama,Sci-Fi",0.7384946479288788
97788,Donnie Darko,0,2001,113,"Drama,Mystery,Sci-Fi",0.7348510103153522
220153,Star Wars: Episode VII - The Force Awakens,0,2015,138,"Action,Adventure,Sci-Fi",0.7241745696713292
197314,Her,0,2013,126,"Drama,Romance,Sci-Fi",0.720868832499125
62676,12 Monkeys,0,1995,129,"Mystery,Sci-Fi,Thriller",0.7207156752271211
199296,Captain America: The Winter Soldier,0,2014,136,"Action,Adventure,Sci-Fi",0.7193471589689905
200613,X-Men: Days of Future Past,0,2014,132,"Action,Adventure,Sci-Fi",0.7192440393793786
221017,Arrival,0,2016,116,"Drama,Mystery,Sci-Fi",0.7184266282161099
46332,The Thing,0,1982,109,"Horror,Mystery,Sci-Fi",0.7183921527235505
190619,Edge of Tomorrow,0,2014,113,"Action,Adventure,Sci-Fi",0.717103667449306
156699,District 9,0,2009,112,"Action,Sci-Fi,Thriller",0.7169561022251328
233988,Captain America: Civil War,0,2016,147,"Action,Sci-Fi",0.7157719485558046
139891,Star Trek,0,2009,127,"Action,Adventure,Sci-Fi",0.7101990997605903
179544,Gravity,0,2013,91,"Drama,Sci-Fi,Thriller",0.7087573477741799
237379,Rogue One: A Star Wars Story,0,2016,133,"Action,Adventure,Sci-Fi",0.7047431029625804
89594,Children of Men,0,2006,109,"Action,Drama,Sci-Fi",0.7005521990574486
165821,X-Men: First Class,0,2011,131,"Action,Sci-Fi",0.6995779904472555
53297,Back to the Future Part II,0,1989,108,"Adventure,Comedy,Sci-Fi",0.6951979593992309
45758,E.T. the Extra-Terrestrial,0,1982,115,"Adventure,Family,Sci-Fi",0.6901019874004186
135343,Ex Machina,0,2014,108,"Drama,Sci-Fi,Thriller",0.687506817244684
73097,Spider-Man,0,2002,121,"Action,Adventure,Sci-Fi",0.6807737629950907
176227,Star Trek Into Darkness,0,2013,132,"Action,Adventure,Sci-Fi",0.6807288964408059
202662,The Hunger Games: Catching Fire,0,2013,146,"Action,Adventure,Sci-Fi",0.6795634021131973
2774,Metropolis,0,1927,153,"Drama,Sci-Fi",0.6769590284028042
169282,Rise of the Planet of the Apes,0,2011,105,"Action,Drama,Sci-Fi",0.6767640895059933
218191,Avengers: Age of Ultron,0,2015,141,"Action,Adventure,Sci-Fi",0.6742707014863134
160066,Moon,0,2009,97,"Drama,Mystery,Sci-Fi",0.6742423669630419
108278,The Butterfly Effect,0,2004,113,"Drama,Sci-Fi,Thriller",0.6729415876805608
64726,The Fifth Element,0,1997,126,"Action,Adventure,Sci-Fi",0.6712671909433157
213370,Spider-Man: Homecoming,0,2017,133,"Action,Adventure,Sci-Fi",0.6701290152134725
113333,Spider-Man 2,0,2004,127,"Action,Adventure,Sci-Fi",0.6697020230255237
198310,Black Panther,0,2018,134,"Action,Adventure,Sci-Fi",0.669348696953785
267284,A Quiet Place,0,2018,90,"Drama,Horror,Sci-Fi",0.6684342704921389
175103,The Hunger Games,0,2012,142,"Action,Adventure,Sci-Fi",0.6680665252892494
64764,Gattaca,0,1997,106,"Drama,Sci-Fi,Thriller",0.6656789940669596
216176,PK,0,2014,153,"Comedy,Drama,Sci-Fi",0.665002319286255
123883,Serenity,0,2005,119,"Action,Adventure,Sci-Fi",0.6638244502423745
162490,Limitless,0,2011,105,"Sci-Fi,Thriller",0.6632210447114361
166178,Looper,0,2012,119,"Action,Drama,Sci-Fi",0.6632029842120288
136311,Ant-Man,0,2015,117,"Action,Comedy,Sci-Fi",0.6620581695111903
108400,X2: X-Men United,0,2003,134,"Action,Sci-Fi,Thriller",0.6608984851922022
65815,X-Men,0,2000,104,"Action,Adventure,Sci-Fi",0.6574777203074365
108064,28 Days Later,0,2002,113,"Drama,Horror,Sci-Fi",0.6557009797127917
167934,Iron Man 3,0,2013,130,"Action,Adventure,Sci-Fi",0.6549963449452281
32785,Planet of the Apes,0,1968,112,"Adventure,Sci-Fi",0.6545207173627674
48620,Brazil,0,1985,132,"Drama,Sci-Fi",0.6519349567036674
47918,Nausicaä of the Valley of the Wind,0,1984,117,"Adventure,Animation,Sci-Fi",0.6511097553775668
54547,Back to the Future Part III,0,1990,118,"Adventure,Comedy,Sci-Fi",0.6508484407436099
139078,Man of Steel,0,2013,143,"Action,Adventure,Sci-Fi",0.6502493361853922
192556,Ready Player One,0,2018,140,"Action,Adventure,Sci-Fi",0.6498476239602862
267869,Tenet,0,2020,150,"Action,Sci-Fi,Thriller",0.6486362192045748
95054,The Matrix Reloaded,0,2003,138,"Action,Sci-Fi",0.6468668771576073
43384,Stalker,0,1979,162,"Drama,Sci-Fi",0.6467042768387615
55587,Total Recall,0,1990,113,"Action,Adventure,Sci-Fi",0.6444546078141432
156055,Don't Look Up,0,2021,138,"Comedy,Drama,Sci-Fi",0.6423381615586641
51634,RoboCop,0,1987,102,"Action,Crime,Sci-Fi",0.6405886388972928
173745,Cloud Atlas,0,2012,172,"Drama,Mystery,Sci-Fi",0.6398830030777614
91991,Unbreakable,0,2000,106,"Drama,Mystery,Sci-Fi",0.6385587229961953
133943,Captain America: The First Avenger,0,2011,124,"Action,Adventure,Sci-Fi",0.6362736792920461
64586,Contact,0,1997,150,"Drama,Mystery,Sci-Fi",0.6349483821223569
163073,Iron Man 2,0,2010,124,"Action,Sci-Fi",0.6347455399843662
64710,Face/Off,0,1997,138,"Action,Crime,Sci-Fi",0.6335894104422994
117788,"I, Robot",0,2004,115,"Action,Mystery,Sci-Fi",0.633448551198944
128864,Transformers,0,2007,144,"Action,Adventure,Sci-Fi",0.6322024335092921
179107,Prometheus,0,2012,124,"Adventure,Mystery,Sci-Fi",0.6300219315201798
218277,Predestination,0,2014,97,"Action,Drama,Sci-Fi",0.6280269205738147
40834,Close Encounters of the Third Kind,0,1977,138,"Drama,Sci-Fi",0.6278243813957405
63494,Independence Day,0,1996,145,"Action,Adventure,Sci-Fi",0.6272740955519267
95984,Equilibrium,0,2002,107,"Action,Drama,Sci-Fi",0.6270652186215763
64618,Dark City,0,1998,100,"Fantasy,Mystery,Sci-Fi",0.6270532103608195
144454,The Amazing Spider-Man,0,2012,136,"Action,Adventure,Sci-Fi",0.6245451491463967
122165,Jurassic World,0,2015,124,"Action,Adventure,Sci-Fi",0.6235372261576618
181470,Oblivion,0,2013,124,"Action,Adventure,Sci-Fi",0.6231690258909988
49932,The Fly,0,1986,96,"Drama,Horror,Sci-Fi",0.6231122356867389
45043,The Road Warrior,0,1981,96,"Action,Adventure,Sci-Fi",0.6220342130707127
65380,Starship Troopers,0,1997,129,"Action,Adventure,Sci-Fi",0.621761508039469
36741,Solaris,0,1972,167,"Drama,Mystery,Sci-Fi",0.6181066212866738
131343,Alita: Battle Angel,0,2019,122,"Action,Adventure,Sci-Fi",0.6171856246843158
266145,Upgrade,0,2018,100,"Action,Sci-Fi,Thriller",0.6155013888522098
90858,A.I. Artificial Intelligence,0,2001,146,"Drama,Sci-Fi",0.6149501988538875
193655,Snowpiercer,0,2013,126,"Action,Drama,Sci-Fi",0.6142165234260465
191889,Pacific Rim,0,2013,131,"Action,Adventure,Sci-Fi",0.6120505652771937
172681,Passengers,0,2016,116,"Drama,Romance,Sci-Fi",0.6113592181301521
46294,Star Trek II: The Wrath of Khan,0,1982,113,"Action,Adventure,Sci-Fi",0.6096397406916759
241994,Captain Marvel,0,2019,123,"Action,Adventure,Sci-Fi",0.6084754180217724
143021,The Mist,0,2007,126,"Horror,Sci-Fi,Thriller",0.6072440194894962
133296,Deja Vu,0,2006,126,"Action,Crime,Sci-Fi",0.6068941214776415
5969,King Kong,0,1933,100,"Adventure,Horror,Sci-Fi",0.6066489264949425
104006,K-PAX,0,2001,120,"Drama,Mystery,Sci-Fi",0.6063177574322246
232407,X-Men: Apocalypse,0,2016,144,"Action,Adventure,Sci-Fi",0.6054552871158075
132649,Sunshine,0,2007,107,"Sci-Fi,Thriller",0.6050124722631185
191451,Super 8,0,2011,112,"Action,Mystery,Sci-Fi",0.6042329182893413
42405,Superman,0,1978,143,"Action,Adventure,Sci-Fi",0.6040456211538761
279757,A Quiet Place Part II,0,2020,97,"Drama,Horror,Sci-Fi",0.6020892899410601
130869,Real Steel,0,2011,127,"Action,Drama,Sci-Fi",0.6013643856129813
65616,Blade,0,1998,120,"Action,Horror,Sci-Fi",0.6013054752958323
171784,Dredd,0,2012,95,"Action,Crime,Sci-Fi",0.6011344678671727
80664,Galaxy Quest,0,1999,102,"Adventure,Comedy,Sci-Fi",0.6007679960361217
197057,The Maze Runner,0,2014,113,"Action,Mystery,Sci-Fi",0.6002482749299659
233530,The Lobster,0,2015,119,"Drama,Romance,Sci-Fi",0.5985397722925466
124613,G.O.R.A.,0,2004,127,"Adventure,Comedy,Sci-Fi",0.5976956410732251
18682,The Day the Earth Stood Still,0,1951,92,"Drama,Sci-Fi",0.5964892079688789
96794,The Matrix Revolutions,0,2003,129,"Action,Sci-Fi",0.595304629362216
237742,Solo: A Star Wars Story,0,2018,135,"Action,Adventure,Sci-Fi",0.5952912588900715
70106,Pitch Black,0,2000,109,"Action,Horror,Sci-Fi",0.5945279829938508
177801,The Wolverine,0,2013,126,"Action,Sci-Fi",0.5910467165271607
4674,Frankenstein,0,1931,70,"Drama,Horror,Sci-Fi",0.5910335767409433
174602,The Adjustment Bureau,0,2011,106,"Romance,Sci-Fi,Thriller",0.5893895667566406
107352,Signs,0,2002,106,"Drama,Mystery,Sci-Fi",0.5885093232290339
193647,Chronicle,0,2012,89,"Action,Drama,Sci-Fi",0.5882764287202092
223066,Star Trek Beyond,0,2016,122,"Action,Adventure,Sci-Fi",0.5872905863908257
65602,Armageddon,0,1998,151,"Action,Adventure,Sci-Fi",0.5869673589996571
123378,X-Men: The Last Stand,0,2006,104,"Action,Adventure,Sci-Fi",0.586665982090926
190812,In Time,0,2011,109,"Action,Sci-Fi,Thriller",0.5854827183226968
162188,The World's End,0,2013,109,"Action,Comedy,Sci-Fi",0.5853018434218769
200435,The Amazing Spider-Man 2,0,2014,142,"Action,Adventure,Sci-Fi",0.58525916057328
154124,TRON: Legacy,0,2010,125,"Action,Adventure,Sci-Fi",0.5850293689384509
279120,The Platform,0,2019,94,"Horror,Sci-Fi,Thriller",0.5847453271524445
140005,The Incredible Hulk,0,2008,112,"Action,Adventure,Sci-Fi",0.5846744083448292
165820,Venom,0,2018,112,"Action,Adventure,Sci-Fi",0.5843354275760797
51725,Spaceballs,0,1987,96,"Adventure,Comedy,Sci-Fi",0.5838968279638356
